TIME,NB_THREADS,LIMIT,BEST_PATH
1.816712,1,3,2101
2.112200,1,4,2101
1.690682,1,5,2101
2.418909,1,6,2101
2.361425,1,7,2101
1.619052,1,8,2101
2.049246,6,3,2101
1.783030,6,4,2101
1.645359,6,5,2101
1.713273,6,6,2101
1.501197,6,7,2101
1.974098,6,8,2101
2.283642,11,3,2101
1.780476,11,4,2101
1.616256,11,5,2101
1.718592,11,6,2101
1.798689,11,7,2101
1.750511,11,8,2101
2.313828,16,3,2101
2.321561,16,4,2101
1.889294,16,5,2101
1.926091,16,6,2101
1.752264,16,7,2101
2.195753,16,8,2101
2.549507,21,3,2101
1.921332,21,4,2101
1.832200,21,5,2101
1.901266,21,6,2101
1.782038,21,7,2101
1.826359,21,8,2101
2.351316,27,3,2101
2.048694,27,4,2101
2.249080,27,5,2101
2.189912,27,6,2101
1.995988,27,7,2101
2.114614,27,8,2101
2.427294,32,3,2101
2.679865,32,4,2101
2.030992,32,5,2101
2.383304,32,6,2101
2.196193,32,7,2101
2.084891,32,8,2101
2.389756,37,3,2101
2.276109,37,4,2101
2.272693,37,5,2101
2.200181,37,6,2101
2.168093,37,7,2101
2.231567,37,8,2101
2.696945,42,3,2101
2.347680,42,4,2101
2.279425,42,5,2101
2.516858,42,6,2101
2.560096,42,7,2101
2.145470,42,8,2101
2.748099,47,3,2101
2.375700,47,4,2101
2.393372,47,5,2101
2.523890,47,6,2101
2.435809,47,7,2101
2.563233,47,8,2101
2.898984,53,3,2101
2.763106,53,4,2101
2.952451,53,5,2101
2.941111,53,6,2101
2.536313,53,7,2101
3.297831,53,8,2101
3.088711,58,3,2101
2.978729,58,4,2101
2.820961,58,5,2101
2.684444,58,6,2101
2.621539,58,7,2101
2.961277,58,8,2101
2.867937,63,3,2101
2.976115,63,4,2101
2.747127,63,5,2101
2.977116,63,6,2101
2.885900,63,7,2101
3.056612,63,8,2101
3.035784,68,3,2101
2.795595,68,4,2101
3.050801,68,5,2101
3.335790,68,6,2101
3.515288,68,7,2101
2.842141,68,8,2101
3.180718,73,3,2101
2.930582,73,4,2101
2.975042,73,5,2101
3.134975,73,6,2101
3.135355,73,7,2101
3.404986,73,8,2101
4.335573,79,3,2101
3.168005,79,4,2101
2.974362,79,5,2101
3.144902,79,6,2101
3.201877,79,7,2101
3.066229,79,8,2101
3.343084,84,3,2101
3.682583,84,4,2101
3.270902,84,5,2101
3.187259,84,6,2101
3.127100,84,7,2101
3.153488,84,8,2101
3.316886,89,3,2101
3.435512,89,4,2101
3.320994,89,5,2101
3.481907,89,6,2101
3.335309,89,7,2101
3.374681,89,8,2101
3.796581,94,3,2101
3.700405,94,4,2101
4.325124,94,5,2101
3.486084,94,6,2101
3.196216,94,7,2101
3.511941,94,8,2101
3.593050,99,3,2101
3.616743,99,4,2101
4.122745,99,5,2101
4.023805,99,6,2101
3.378338,99,7,2101
3.339277,99,8,2101
4.219321,105,3,2101
3.643872,105,4,2101
4.479515,105,5,2101
3.870886,105,6,2101
3.540814,105,7,2101
3.826806,105,8,2101
3.680970,110,3,2101
3.644623,110,4,2101
3.728115,110,5,2101
4.864908,110,6,2101
3.945421,110,7,2101
3.582580,110,8,2101
4.818514,115,3,2101
4.143092,115,4,2101
3.845329,115,5,2101
3.784819,115,6,2101
3.826535,115,7,2101
3.866177,115,8,2101
4.857624,120,3,2101
4.135999,120,4,2101
4.238086,120,5,2101
4.012814,120,6,2101
4.684309,120,7,2101
3.805767,120,8,2101
4.408385,125,3,2101
4.420998,125,4,2101
4.942949,125,5,2101
4.594124,125,6,2101
4.510111,125,7,2101
3.942216,125,8,2101
4.792927,131,3,2101
5.379215,131,4,2101
5.259257,131,5,2101
4.063286,131,6,2101
4.412213,131,7,2101
5.006747,131,8,2101
4.196078,136,3,2101
4.227446,136,4,2101
4.985888,136,5,2101
5.089768,136,6,2101
4.821859,136,7,2101
4.395612,136,8,2101
4.203211,141,3,2101
4.348577,141,4,2101
4.899481,141,5,2101
4.893169,141,6,2101
4.575140,141,7,2101
4.856142,141,8,2101
4.973847,146,3,2101
4.496826,146,4,2101
4.620071,146,5,2101
4.963768,146,6,2101
4.770446,146,7,2101
4.952899,146,8,2101
4.850521,151,3,2101
5.000004,151,4,2101
4.570961,151,5,2101
4.534215,151,6,2101
4.853457,151,7,2101
4.568117,151,8,2101
4.827770,157,3,2101
5.120103,157,4,2101
4.874685,157,5,2101
4.986449,157,6,2101
4.710687,157,7,2101
5.214174,157,8,2101
5.016113,162,3,2101
5.730565,162,4,2101
5.457929,162,5,2101
4.862403,162,6,2101
5.703537,162,7,2101
5.315028,162,8,2101
5.359880,167,3,2101
5.464580,167,4,2101
4.923044,167,5,2101
5.586052,167,6,2101
5.041018,167,7,2101
5.419778,167,8,2101
5.059453,172,3,2101
5.486310,172,4,2101
5.339052,172,5,2101
5.097682,172,6,2101
4.613058,172,7,2101
5.371241,172,8,2101
5.503852,177,3,2101
5.303597,177,4,2101
6.868480,177,5,2101
5.783161,177,6,2101
5.060804,177,7,2101
6.259109,177,8,2101
6.082668,183,3,2101
5.111406,183,4,2101
5.430238,183,5,2101
5.521985,183,6,2101
5.622048,183,7,2101
5.373234,183,8,2101
5.316821,188,3,2101
6.048745,188,4,2101
5.490488,188,5,2101
5.202483,188,6,2101
5.728692,188,7,2101
5.668342,188,8,2101
5.694189,193,3,2101
5.792618,193,4,2101
5.685023,193,5,2101
5.952039,193,6,2101
5.652213,193,7,2101
5.277389,193,8,2101
5.478506,198,3,2101
5.822974,198,4,2101
5.491940,198,5,2101
5.515784,198,6,2101
5.543615,198,7,2101
5.843982,198,8,2101
6.041933,203,3,2101
6.414733,203,4,2101
6.109706,203,5,2101
5.576706,203,6,2101
5.546199,203,7,2101
6.580154,203,8,2101
5.734031,209,3,2101
5.901377,209,4,2101
5.496790,209,5,2101
5.723502,209,6,2101
5.827672,209,7,2101
5.823665,209,8,2101
6.127179,214,3,2101
6.000528,214,4,2101
6.022217,214,5,2101
5.977866,214,6,2101
5.698177,214,7,2101
5.726889,214,8,2101
6.363419,219,3,2101
6.043716,219,4,2101
5.975612,219,5,2101
6.509496,219,6,2101
6.459373,219,7,2101
6.145492,219,8,2101
6.691186,224,3,2101
6.709911,224,4,2101
6.281670,224,5,2101
6.092445,224,6,2101
6.286810,224,7,2101
6.265150,224,8,2101
6.604899,229,3,2101
6.806466,229,4,2101
6.303781,229,5,2101
6.531896,229,6,2101
6.597716,229,7,2101
6.517530,229,8,2101
6.418008,235,3,2101
6.334205,235,4,2101
7.082780,235,5,2101
6.961388,235,6,2101
5.892861,235,7,2101
6.798913,235,8,2101
6.679125,240,3,2101
6.186677,240,4,2101
6.504436,240,5,2101
6.019132,240,6,2101
6.613155,240,7,2101
6.361476,240,8,2101
6.658236,245,3,2101
7.219089,245,4,2101
6.822285,245,5,2101
7.234045,245,6,2101
6.655722,245,7,2101
6.903864,245,8,2101
7.229247,250,3,2101
6.631518,250,4,2101
8.378211,250,5,2101
7.622585,250,6,2101
6.870654,250,7,2101
6.541574,250,8,2101
7.710515,256,3,2101
6.932536,256,4,2101
7.121150,256,5,2101
6.558494,256,6,2101
6.508724,256,7,2101
6.539650,256,8,2101
