TIME,NB_THREADS,LIMIT,BEST_PATH
1.430768,1,1,1818
1.401104,1,2,1818
1.427543,1,3,1818
1.323593,1,4,1818
1.451776,1,5,1818
1.392719,1,6,1818
1.662680,6,1,1818
1.510213,6,2,1818
1.465522,6,3,1818
1.581694,6,4,1818
1.545677,6,5,1818
1.552640,6,6,1818
1.561807,11,1,1818
1.693978,11,2,1818
1.557479,11,3,1818
1.631975,11,4,1818
2.554927,11,5,1818
2.062480,11,6,1818
2.154156,16,1,1818
1.631214,16,2,1818
2.056138,16,3,1818
1.788350,16,4,1818
1.967056,16,5,1818
1.819707,16,6,1818
2.340516,21,1,1818
2.125405,21,2,1818
1.780406,21,3,1818
1.807044,21,4,1818
3.007292,21,5,1818
1.782519,21,6,1818
1.995578,27,1,1818
1.852867,27,2,1818
2.026303,27,3,1818
2.030511,27,4,1818
2.149868,27,5,1818
1.898470,27,6,1818
2.072298,32,1,1818
2.058462,32,2,1818
2.463611,32,3,1818
2.284424,32,4,1818
2.430340,32,5,1818
2.174433,32,6,1818
2.423287,37,1,1818
2.405585,37,2,1818
2.215749,37,3,1818
2.282751,37,4,1818
2.222602,37,5,1818
2.107191,37,6,1818
2.302156,42,1,1818
2.219566,42,2,1818
2.429719,42,3,1818
2.179402,42,4,1818
2.256964,42,5,1818
2.684854,42,6,1818
2.352609,47,1,1818
2.290475,47,2,1818
2.345064,47,3,1818
2.413860,47,4,1818
2.420923,47,5,1818
2.192917,47,6,1818
2.482725,53,1,1818
2.434117,53,2,1818
2.439307,53,3,1818
2.495640,53,4,1818
2.592506,53,5,1818
2.479610,53,6,1818
2.616639,58,1,1818
2.648788,58,2,1818
3.096073,58,3,1818
2.614406,58,4,1818
2.730127,58,5,1818
2.981114,58,6,1818
2.718545,63,1,1818
2.556650,63,2,1818
2.672121,63,3,1818
2.596803,63,4,1818
2.610848,63,5,1818
2.990711,63,6,1818
3.157266,68,1,1818
3.506671,68,2,1818
2.873157,68,3,1818
3.093899,68,4,1818
3.180518,68,5,1818
2.733643,68,6,1818
3.021988,73,1,1818
3.330792,73,2,1818
2.964654,73,3,1818
3.472159,73,4,1818
3.026197,73,5,1818
3.316515,73,6,1818
3.183813,79,1,1818
3.032849,79,2,1818
3.460468,79,3,1818
3.144812,79,4,1818
3.268968,79,5,1818
3.553347,79,6,1818
3.312207,84,1,1818
3.067471,84,2,1818
3.197518,84,3,1818
