TIME,NB_THREADS,LIMIT,BEST_PATH
1.505895,1,1,1598
1.498602,1,2,1598
1.534107,1,3,1598
2.471185,6,1,1598
1.864308,6,2,1598
1.543374,6,3,1598
1.521844,11,1,1598
1.558130,11,2,1598
1.743749,11,3,1598
1.718462,16,1,1598
1.718983,16,2,1598
1.595949,16,3,1598
2.499506,21,1,1598
1.781127,21,2,1598
1.839163,21,3,1598
1.863918,27,1,1598
1.881790,27,2,1598
1.899703,27,3,1598
2.066236,32,1,1598
2.366573,32,2,1598
2.116437,32,3,1598
2.182578,37,1,1598
2.249110,37,2,1598
2.172931,37,3,1598
2.192176,42,1,1598
2.157573,42,2,1598
2.605740,42,3,1598
2.281709,47,1,1598
2.272141,47,2,1598
2.371943,47,3,1598
2.412738,53,1,1598
2.677440,53,2,1598
2.509314,53,3,1598
2.364470,58,1,1598
2.942403,58,2,1598
2.468760,58,3,1598
2.513431,63,1,1598
2.620917,63,2,1598
2.781540,63,3,1598
2.976445,68,1,1598
3.428960,68,2,1598
2.841118,68,3,1598
3.199622,73,1,1598
2.849293,73,2,1598
3.019253,73,3,1598
2.876894,79,1,1598
2.945650,79,2,1598
3.084822,79,3,1598
3.114988,84,1,1598
3.498617,84,2,1598
3.401670,84,3,1598
3.663769,89,1,1598
3.216031,89,2,1598
3.180408,89,3,1598
4.100244,94,1,1598
3.384659,94,2,1598
3.794096,94,3,1598
4.058057,99,1,1598
3.664570,99,2,1598
4.184377,99,3,1598
3.369431,105,1,1598
3.941525,105,2,1598
3.924905,105,3,1598
3.510629,110,1,1598
4.502868,110,2,1598
4.043620,110,3,1598
3.673626,115,1,1598
4.406953,115,2,1598
3.717256,115,3,1598
4.011071,120,1,1598
4.738447,120,2,1598
3.926286,120,3,1598
4.134897,125,1,1598
4.223499,125,2,1598
3.919654,125,3,1598
5.550968,131,1,1598
4.197080,131,2,1598
4.144905,131,3,1598
4.011602,136,1,1598
4.380595,136,2,1598
4.095665,136,3,1598
4.175992,141,1,1598
5.021223,141,2,1598
4.265084,141,3,1598
4.259364,146,1,1598
4.979486,146,2,1598
4.434412,146,3,1598
4.561224,151,1,1598
5.122878,151,2,1598
4.494854,151,3,1598
4.316599,157,1,1598
4.990286,157,2,1598
4.304947,157,3,1598
4.261057,162,1,1598
4.887098,162,2,1598
4.624038,162,3,1598
6.610720,167,1,1598
4.839281,167,2,1598
5.151580,167,3,1598
5.331718,172,1,1598
5.162711,172,2,1598
4.793648,172,3,1598
4.564330,177,1,1598
5.210498,177,2,1598
5.150939,177,3,1598
4.764975,183,1,1598
5.166778,183,2,1598
4.787095,183,3,1598
5.278622,188,1,1598
5.320287,188,2,1598
5.104264,188,3,1598
5.793750,193,1,1598
5.183418,193,2,1598
5.654287,193,3,1598
5.390415,198,1,1598
7.178936,198,2,1598
6.087857,198,3,1598
5.497731,203,1,1598
5.290313,203,2,1598
5.748749,203,3,1598
5.906757,209,1,1598
6.286840,209,2,1598
5.627898,209,3,1598
5.509233,214,1,1598
6.329477,214,2,1598
5.698908,214,3,1598
6.181577,219,1,1598
6.025923,219,2,1598
5.724425,219,3,1598
5.785216,224,1,1598
6.851028,224,2,1598
5.923908,224,3,1598
5.766260,229,1,1598
6.113063,229,2,1598
6.849605,229,3,1598
6.357850,235,1,1598
6.897803,235,2,1598
6.037295,235,3,1598
6.350936,240,1,1598
6.654770,240,2,1598
7.569537,240,3,1598
6.906078,245,1,1598
7.748905,245,2,1598
6.333655,245,3,1598
7.184436,250,1,1598
6.964484,250,2,1598
6.973181,250,3,1598
6.301647,256,1,1598
6.892323,256,2,1598
6.608696,256,3,1598
