TIME,NB_THREADS,LIMIT,BEST_PATH
6.149730,198,5,1883
6.289935,198,6,1883
6.195423,198,7,1883
5.851466,203,2,1883
5.790755,203,3,1883
5.452369,203,4,1883
5.689250,203,5,1883
5.488925,203,6,1883
5.664134,203,7,1883
5.593967,209,2,1883
6.142055,209,3,1883
6.064524,209,4,1883
6.033188,209,5,1883
6.139571,209,6,1883
7.097227,209,7,1883
5.913248,214,2,1883
5.564032,214,3,1883
5.757084,214,4,1883
5.819158,214,5,1883
7.084964,214,6,1883
5.895476,214,7,1883
7.037738,219,2,1883
6.073731,219,3,1883
6.139391,219,4,1883
6.000037,219,5,1883
6.163264,219,6,1883
6.268226,219,7,1883
6.498615,224,2,1883
5.840977,224,3,1883
6.711022,224,4,1883
5.953252,224,5,1883
6.045709,224,6,1883
6.095080,224,7,1883
6.492634,229,2,1883
6.401649,229,3,1883
6.011918,229,4,1883
6.002622,229,5,1883
7.357882,229,6,1883
7.753533,229,7,1883
6.488848,235,2,1883
6.107503,235,3,1883
6.053824,235,4,1883
6.879771,235,5,1883
6.072679,235,6,1883
6.829077,235,7,1883
7.176441,240,2,1883
6.672672,240,3,1883
7.475075,240,4,1883
6.261123,240,5,1883
6.308028,240,6,1883
6.919152,240,7,1883
6.754693,245,2,1883
6.430691,245,3,1883
6.507773,245,4,1883
6.942104,245,5,1883
6.819611,245,6,1883
6.954346,245,7,1883
6.934480,250,2,1883
7.012773,250,3,1883
8.011763,250,4,1883
6.858771,250,5,1883
6.818749,250,6,1883
6.598868,250,7,1883
7.097177,256,2,1883
6.797400,256,3,1883
6.938367,256,4,1883
6.874350,256,5,1883
8.364788,256,6,1883
6.656072,256,7,1883
