TIME,NB_THREADS,LIMIT,BEST_PATH
1.890206,1,1,1602
1.506296,1,2,1602
1.529428,1,3,1602
1.354449,1,4,1602
1.704307,6,1,1602
1.915993,6,2,1602
1.512777,6,3,1602
1.419347,6,4,1602
1.615645,11,1,1602
1.431650,11,2,1602
2.060265,11,3,1602
1.694148,11,4,1602
2.147715,16,1,1602
1.545718,16,2,1602
1.804399,16,3,1602
1.659494,16,4,1602
2.209468,21,1,1602
1.814187,21,2,1602
1.790283,21,3,1602
1.769786,21,4,1602
2.455155,27,1,1602
1.806613,27,2,1602
2.266110,27,3,1602
1.919048,27,4,1602
2.243109,32,1,1602
2.105939,32,2,1602
2.086553,32,3,1602
2.411556,32,4,1602
2.082927,37,1,1602
2.095950,37,2,1602
2.203006,37,3,1602
2.177659,37,4,1602
2.550299,42,1,1602
3.051392,42,2,1602
2.204679,42,3,1602
2.171618,42,4,1602
2.398101,47,1,1602
2.334255,47,2,1602
2.380359,47,3,1602
2.424440,47,4,1602
3.695045,53,1,1602
2.378966,53,2,1602
2.569173,53,3,1602
2.411996,53,4,1602
2.513411,58,1,1602
2.736949,58,2,1602
3.190335,58,3,1602
2.415914,58,4,1602
2.922187,63,1,1602
2.577408,63,2,1602
2.768667,63,3,1602
2.635243,63,4,1602
2.773436,68,1,1602
2.691325,68,2,1602
3.900018,68,3,1602
3.042556,68,4,1602
2.674956,73,1,1602
2.899235,73,2,1602
2.957340,73,3,1602
3.402392,73,4,1602
3.016358,79,1,1602
3.201365,79,2,1602
3.334438,79,3,1602
3.249263,79,4,1602
3.579104,84,1,1602
3.023933,84,2,1602
3.060349,84,3,1602
3.032026,84,4,1602
3.018832,89,1,1602
3.325601,89,2,1602
3.645725,89,3,1602
3.716364,89,4,1602
3.379038,94,1,1602
3.507844,94,2,1602
3.304483,94,3,1602
3.946373,94,4,1602
3.763991,99,1,1602
3.922981,99,2,1602
3.367538,99,3,1602
3.371275,99,4,1602
3.537528,105,1,1602
4.442688,105,2,1602
3.457032,105,3,1602
3.956001,105,4,1602
3.496553,110,1,1602
3.946684,110,2,1602
3.534543,110,3,1602
4.638896,110,4,1602
4.467684,115,1,1602
3.755927,115,2,1602
3.803352,115,3,1602
3.640526,115,4,1602
3.818199,120,1,1602
3.879311,120,2,1602
3.762929,120,3,1602
4.522154,120,4,1602
3.996725,125,1,1602
4.436046,125,2,1602
4.658852,125,3,1602
3.754764,125,4,1602
4.508718,131,1,1602
4.341544,131,2,1602
4.054350,131,3,1602
3.919505,131,4,1602
4.422000,136,1,1602
4.247473,136,2,1602
3.952394,136,3,1602
4.246951,136,4,1602
4.521022,141,1,1602
4.301531,141,2,1602
4.094734,141,3,1602
4.476711,141,4,1602
4.258271,146,1,1602
5.401105,146,2,1602
4.612898,146,3,1602
4.440794,146,4,1602
4.660064,151,1,1602
5.000836,151,2,1602
4.396784,151,3,1602
4.421911,151,4,1602
5.556498,157,1,1602
4.801763,157,2,1602
4.913746,157,3,1602
4.630561,157,4,1602
4.472743,162,1,1602
7.496344,162,2,1602
4.754286,162,3,1602
4.567917,162,4,1602
6.043215,167,1,1602
5.084157,167,2,1602
4.881578,167,3,1602
4.778090,167,4,1602
5.102080,172,1,1602
4.784812,172,2,1602
4.913065,172,3,1602
5.079229,172,4,1602
5.378514,177,1,1602
4.770235,177,2,1602
5.487383,177,3,1602
5.095187,177,4,1602
5.107660,183,1,1602
4.935807,183,2,1602
5.336126,183,3,1602
8.401554,183,4,1602
4.915631,188,1,1602
5.342438,188,2,1602
5.053311,188,3,1602
5.274304,188,4,1602
5.161609,193,1,1602
5.379646,193,2,1602
5.601981,193,3,1602
5.707533,193,4,1602
5.738099,198,1,1602
5.656410,198,2,1602
5.295923,198,3,1602
5.571325,198,4,1602
6.439147,203,1,1602
6.892373,203,2,1602
5.600428,203,3,1602
5.408879,203,4,1602
5.803188,209,1,1602
5.392990,209,2,1602
6.007370,209,3,1602
6.568933,209,4,1602
5.315058,214,1,1602
5.097893,214,2,1602
5.302705,214,3,1602
5.352927,214,4,1602
5.987022,219,1,1602
6.001760,219,2,1602
5.874888,219,3,1602
5.919510,219,4,1602
6.078499,224,1,1602
5.831329,224,2,1602
6.502342,224,3,1602
6.298751,224,4,1602
6.319238,229,1,1602
6.535412,229,2,1602
6.368619,229,3,1602
6.538929,229,4,1602
6.669107,235,1,1602
6.700944,235,2,1602
6.662725,235,3,1602
6.052752,235,4,1602
6.143688,240,1,1602
6.136946,240,2,1602
6.382164,240,3,1602
7.007353,240,4,1602
7.182332,245,1,1602
7.029062,245,2,1602
6.357439,245,3,1602
6.536775,245,4,1602
6.408401,250,1,1602
6.369791,250,2,1602
6.476114,250,3,1602
7.349416,250,4,1602
6.493978,256,1,1602
6.807789,256,2,1602
7.393777,256,3,1602
7.260785,256,4,1602
