TIME,NB_THREADS,LIMIT,BEST_PATH
1.762102,1,1,582
1.561856,1,2,582
1.553071,6,1,582
1.544946,6,2,582
2.073420,11,1,582
1.640329,11,2,582
1.584688,16,1,582
1.921333,16,2,582
2.978770,21,1,582
1.921783,21,2,582
2.211170,27,1,582
2.041311,27,2,582
2.000637,32,1,582
2.742710,32,2,582
1.992943,37,1,582
2.157914,37,2,582
2.290635,42,1,582
2.329086,42,2,582
2.350844,47,1,582
3.098248,47,2,582
2.410684,53,1,582
2.495428,53,2,582
3.172683,58,1,582
2.588709,58,2,582
3.070156,63,1,582
2.731669,63,2,582
2.879909,68,1,582
2.758078,68,2,582
3.129534,73,1,582
2.886171,73,2,582
3.210051,79,1,582
3.240567,79,2,582
3.708650,84,1,582
3.147217,84,2,582
3.873370,89,1,582
3.343585,89,2,582
3.299354,94,1,582
3.344075,94,2,582
3.322236,99,1,582
3.872880,99,2,582
3.333987,105,1,582
3.745897,105,2,582
3.408693,110,1,582
3.459085,110,2,582
4.279470,115,1,582
3.721413,115,2,582
3.751709,120,1,582
3.742903,120,2,582
4.030978,125,1,582
3.912532,125,2,582
4.050824,131,1,582
4.000061,131,2,582
4.645658,136,1,582
4.142120,136,2,582
5.029077,141,1,582
4.501986,141,2,582
5.046388,146,1,582
4.319764,146,2,582
4.375405,151,1,582
5.513160,151,2,582
4.617596,157,1,582
4.763112,157,2,582
4.811670,162,1,582
5.410002,162,2,582
5.024729,167,1,582
5.242326,167,2,582
4.733198,172,1,582
4.917193,172,2,582
5.243888,177,1,582
4.924426,177,2,582
5.091260,183,1,582
5.158213,183,2,582
5.495326,188,1,582
5.414699,188,2,582
5.769396,193,1,582
6.200913,193,2,582
6.765171,198,1,582
5.621978,198,2,582
6.080032,203,1,582
5.757886,203,2,582
6.155891,209,1,582
6.168694,209,2,582
6.283594,214,1,582
5.961707,214,2,582
6.277362,219,1,582
6.530524,219,2,582
5.913088,224,1,582
6.499127,224,2,582
6.493988,229,1,582
6.661683,229,2,582
6.300093,235,1,582
6.563814,235,2,582
6.485252,240,1,582
6.166169,240,2,582
7.104460,245,1,582
6.601252,245,2,582
6.399364,250,1,582
6.788495,250,2,582
7.025276,256,1,582
7.583803,256,2,582
