TIME,NB_THREADS,LIMIT,BEST_PATH
1.635480,1,1,1719
1.683518,1,2,1719
1.493292,1,3,1719
1.319425,1,4,1719
1.801394,1,5,1719
1.663052,6,1,1719
2.048904,6,2,1719
1.551639,6,3,1719
1.512828,6,4,1719
1.469398,6,5,1719
1.870610,11,1,1719
1.892530,11,2,1719
1.603363,11,3,1719
1.583357,11,4,1719
1.560814,11,5,1719
2.184972,16,1,1719
1.733359,16,2,1719
1.937271,16,3,1719
1.854079,16,4,1719
1.677487,16,5,1719
2.254869,21,1,1719
1.861092,21,2,1719
2.173311,21,3,1719
1.753426,21,4,1719
1.872433,21,5,1719
2.296586,27,1,1719
2.030551,27,2,1719
2.856857,27,3,1719
2.097504,27,4,1719
1.852025,27,5,1719
2.128530,32,1,1719
2.260962,32,2,1719
2.067138,32,3,1719
2.149197,32,4,1719
2.399674,32,5,1719
2.023829,37,1,1719
2.054365,37,2,1719
2.245192,37,3,1719
2.124543,37,4,1719
2.129863,37,5,1719
2.120124,42,1,1719
2.182207,42,2,1719
2.511528,42,3,1719
2.195602,42,4,1719
2.192556,42,5,1719
2.093907,47,1,1719
2.309770,47,2,1719
2.263185,47,3,1719
2.173231,47,4,1719
2.134130,47,5,1719
2.982817,53,1,1719
2.494107,53,2,1719
2.454184,53,3,1719
2.712004,53,4,1719
2.576045,53,5,1719
2.522979,58,1,1719
2.711312,58,2,1719
2.901960,58,3,1719
2.701354,58,4,1719
2.535282,58,5,1719
2.676408,63,1,1719
2.545991,63,2,1719
2.696725,63,3,1719
3.371967,63,4,1719
2.589490,63,5,1719
2.923328,68,1,1719
2.969973,68,2,1719
2.709339,68,3,1719
2.814410,68,4,1719
2.828375,68,5,1719
2.856005,73,1,1719
2.781560,73,2,1719
3.091766,73,3,1719
3.140114,73,4,1719
2.897371,73,5,1719
2.907651,79,1,1719
2.872986,79,2,1719
3.351559,79,3,1719
3.438918,79,4,1719
3.020676,79,5,1719
3.453465,84,1,1719
2.991312,84,2,1719
3.395770,84,3,1719
3.199282,84,4,1719
3.028590,84,5,1719
3.081567,89,1,1719
3.243141,89,2,1719
4.155244,89,3,1719
3.992537,89,4,1719
3.565179,89,5,1719
3.344286,94,1,1719
3.303912,94,2,1719
3.789848,94,3,1719
3.335450,94,4,1719
3.247339,94,5,1719
3.685838,99,1,1719
3.478090,99,2,1719
3.462350,99,3,1719
3.648851,99,4,1719
3.277023,99,5,1719
3.439038,105,1,1719
3.673426,105,2,1719
3.347411,105,3,1719
3.852753,105,4,1719
3.565309,105,5,1719
3.421616,110,1,1719
3.629205,110,2,1719
4.190067,110,3,1719
3.949299,110,4,1719
4.004219,110,5,1719
4.537160,115,1,1719
4.672286,115,2,1719
3.913864,115,3,1719
4.092219,115,4,1719
3.943198,115,5,1719
3.662937,120,1,1719
4.159843,120,2,1719
3.876145,120,3,1719
4.045164,120,4,1719
3.891814,120,5,1719
3.836603,125,1,1719
3.976659,125,2,1719
4.190338,125,3,1719
4.107286,125,4,1719
4.537621,125,5,1719
3.924784,131,1,1719
4.634388,131,2,1719
4.040896,131,3,1719
4.090426,131,4,1719
4.050272,131,5,1719
4.551527,136,1,1719
4.121121,136,2,1719
4.012103,136,3,1719
4.049932,136,4,1719
4.108078,136,5,1719
4.370306,141,1,1719
4.248394,141,2,1719
4.616003,141,3,1719
4.213661,141,4,1719
4.538002,141,5,1719
4.687514,146,1,1719
4.888540,146,2,1719
5.542442,146,3,1719
4.679760,146,4,1719
4.417092,146,5,1719
4.657218,151,1,1719
4.511824,151,2,1719
4.517995,151,3,1719
4.907736,151,4,1719
5.240974,151,5,1719
4.541798,157,1,1719
4.556045,157,2,1719
4.602609,157,3,1719
5.420671,157,4,1719
4.406261,157,5,1719
4.546608,162,1,1719
4.814846,162,2,1719
6.639833,162,3,1719
4.977994,162,4,1719
5.379326,162,5,1719
4.462053,167,1,1719
5.598865,167,2,1719
5.478426,167,3,1719
4.739930,167,4,1719
5.452749,167,5,1719
5.287348,172,1,1719
5.681817,172,2,1719
4.813244,172,3,1719
5.786808,172,4,1719
5.967487,172,5,1719
5.608604,177,1,1719
5.313716,177,2,1719
5.088967,177,3,1719
4.798126,177,4,1719
5.736406,177,5,1719
5.163211,183,1,1719
5.401426,183,2,1719
5.165275,183,3,1719
5.416924,183,4,1719
5.583227,183,5,1719
5.734383,188,1,1719
5.216088,188,2,1719
5.114242,188,3,1719
5.782390,188,4,1719
5.759799,188,5,1719
5.351435,193,1,1719
5.448000,193,2,1719
5.342198,193,3,1719
6.242378,193,4,1719
8.216818,193,5,1719
8.864328,198,1,1719
6.149770,198,2,1719
5.846316,198,3,1719
5.499003,198,4,1719
5.839444,198,5,1719
5.971746,203,1,1719
5.628700,203,2,1719
5.527145,203,3,1719
6.416827,203,4,1719
5.549306,203,5,1719
6.286548,209,1,1719
6.111490,209,2,1719
6.938277,209,3,1719
5.829807,209,4,1719
5.505967,209,5,1719
5.710389,214,1,1719
6.273124,214,2,1719
5.696573,214,3,1719
6.376303,214,4,1719
5.821341,214,5,1719
9.234774,219,1,1719
5.923949,219,2,1719
5.832401,219,3,1719
5.465943,219,4,1719
6.522550,219,5,1719
5.786027,224,1,1719
7.107906,224,2,1719
6.264889,224,3,1719
7.548680,224,4,1719
6.057381,224,5,1719
5.802186,229,1,1719
6.069724,229,2,1719
6.183872,229,3,1719
6.352069,229,4,1719
6.870633,229,5,1719
5.935339,235,1,1719
6.803872,235,2,1719
6.106671,235,3,1719
6.221711,235,4,1719
6.308349,235,5,1719
6.605671,240,1,1719
6.965997,240,2,1719
6.467999,240,3,1719
7.045112,240,4,1719
6.540892,240,5,1719
6.432785,245,1,1719
6.795527,245,2,1719
6.760813,245,3,1719
6.197646,245,4,1719
6.058393,245,5,1719
6.787271,250,1,1719
6.648278,250,2,1719
6.391811,250,3,1719
6.075023,250,4,1719
6.821104,250,5,1719
6.388355,256,1,1719
6.896170,256,2,1719
7.115991,256,3,1719
6.914243,256,4,1719
7.002865,256,5,1719
